Year,Month,Plates,Auctioners,Success rate,Startprice,11:29:00,11:29:01,11:29:02,11:29:03,11:29:04,11:29:05,11:29:06,11:29:07,11:29:08,11:29:09,11:29:10,11:29:11,11:29:12,11:29:13,11:29:14,11:29:15,11:29:16,11:29:17,11:29:18,11:29:19,11:29:20,11:29:21,11:29:22,11:29:23,11:29:24,11:29:25,11:29:26,11:29:27,11:29:28,11:29:29,11:29:30,11:29:31,11:29:32,11:29:33,11:29:34,11:29:35,11:29:36,11:29:37,11:29:38,11:29:39,11:29:40,11:29:41,11:29:42,11:29:43,11:29:44,11:29:45,11:29:46,11:29:47,11:29:48,11:29:49,11:29:50,11:29:51,11:29:52,11:29:53,11:29:54,11:29:55,11:29:56,11:29:57,11:29:58,11:29:59,11:30:00,SubmitTime
2014,1,8100,41946,0.1931,72600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,400,500,600,600,600,600,600,600,600,600,800,900,900,900,
2014,2,7400,45758,0.1617,72600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,500,600,600,600,600,600,600,600,
2014,3,7400,61853,0.1196,72600,300,300,300,300,300,300,300,300,300,300,300,400,400,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,700,800,800,900,900,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,
2014,4,8200,94241,0.087,72600,500,500,500,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,700,700,800,800,900,900,900,900,900,900,900,900,900,900,900,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1400,1400,1400,1400,1400,
2014,5,7400,114121,0.0648,72600,600,700,700,700,700,800,800,800,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1000,1000,1000,1100,1100,1200,1200,1200,1200,1200,1200,1200,1300,1400,1500,1500,1500,1500,1500,1500,1600,1600,1600,1700,1700,1800,1800,1800,1800,1800,1800,1800,
2014,6,7400,135677,0.0545,72600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,800,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1100,1200,1200,1200,1200,1200,1200,1200,1200,
2014,7,7400,136098,0.0544,72600,700,700,800,800,800,900,900,900,900,900,900,900,900,900,900,1000,1000,1000,1100,1100,1200,1200,1200,1200,1200,1300,1300,1300,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600,1700,1700,1700,1700,1700,1800,1800,1800,1800,1800,1800,1900,1900,1900,1900,1900,1900,
2014,8,7400,121550,0.0609,72600,300,300,300,300,300,300,300,300,300,300,300,300,400,400,500,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,700,800,800,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1000,
2014,9,8300,122219,0.0679,72600,300,300,300,300,300,400,400,400,500,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,700,700,700,800,800,800,900,900,900,900,900,900,900,900,900,900,1000,1100,1100,1200,1200,1200,1200,
2014,10,7400,105532,0.0701,72600,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,400,400,500,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,700,800,900,900,900,900,900,1000,1000,1000,1100,1200,1200,1200,1200,1200,1200,1200,1300,1300,1300,1300,1400,
2014,11,7400,95595,0.0774,72600,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,500,600,600,600,600,600,700,700,800,800,900,900,900,900,900,
2014,12,7447,96972,0.0768,72600,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,400,500,500,600,600,600,600,600,600,700,800,900,900,900,900,900,1000,1000,
2015,1,7990,98203,0.0814,73700,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
2015,2,7653,103224,0.0741,73700,2300,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2600,2600,2600,2600,2600,2600,2600,2600,2700,2700,2700,2700,2800,2800,2800,
2015,3,7406,132690,0.0558,73700,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,31
2015,4,8288,152298,0.0544,75200,4700,4700,4700,4700,4700,4700,4700,4700,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4900,4900,4900,4900,4900,4900,4900,4900,5000,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100,5200,5200,5200,5200,5300,5300,5400,5400,5400,5400,5400,5400,40
2015,5,7482,156007,0.048,75200,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3200,3200,3200,3200,3200,3300,3300,3300,3300,3300,3300,3300,3300,3300,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3500,3500,3500,3600,3600,3600,3600,3600,3600,3600,3600,3700,3700,3700,3700,3700,3700,3700,3700,3800,3800,40
2015,6,7441,172205,0.0432,75200,2500,2500,2600,2600,2700,2700,2700,2700,2800,2800,2800,2800,2800,2800,2900,2900,2900,2900,2900,3000,3000,3100,3100,3100,3200,3200,3300,3300,3300,3400,3400,3400,3500,3500,3500,3600,3700,3800,3800,3900,3900,3900,4000,4000,4000,4100,4200,4200,4300,4300,4300,4400,4400,4500,4500,4500,4600,4700,4700,4700,4800,54
2015,7,7531,166302,0.0453,79900,1500,1500,1500,1500,1500,1500,1500,1500,1500,1600,1600,1600,1700,1700,1700,1800,1800,1800,1800,1800,1800,1900,1900,1900,1900,2000,2000,2100,2100,2100,2100,2100,2100,2100,2200,2200,2200,2300,2300,2400,2400,2400,2500,2500,2600,2600,2600,2700,2700,2700,2800,2900,2900,2900,3000,3100,3100,3100,3100,3200,3200,51
2015,8,7454,166939,0.0447,79900,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1300,1300,1300,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1600,1600,1600,1600,1700,1700,1700,1800,1800,1800,1800,1900,1900,1900,1900,2000,2000,2000,2100,2100,2100,2100,2200,2200,2300,2300,2400,2500,2600,2600,2600,2700,2700,54
2015,9,8727,165765,0.0526,79900,900,900,900,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1300,1300,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1600,1600,1600,1600,1700,1700,1800,1800,1800,1900,1900,1900,2000,2100,2100,2100,2200,53
2015,10,7763,170995,0.0454,82600,1200,1200,1200,1200,1200,1200,1200,1200,1200,1300,1300,1300,1400,1400,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1600,1600,1600,1700,1700,1700,1800,1800,1800,1800,1900,1900,1900,2000,2000,2000,2100,2100,2200,2200,2300,2300,2400,2400,2500,2600,2600,2700,2700,2700,2700,52
2015,11,7514,169159,0.0444,82600,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1000,1000,1000,1000,1000,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1300,1300,1300,1300,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500,1600,1600,1700,1700,1700,1800,1900,1900,2000,2000,53
2015,12,7698,179133,0.043,82600,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1300,1300,1300,1400,1400,1400,1500,1500,1500,1500,1500,1600,1600,1600,1700,1800,1800,1900,54
2016,1,9409,187533,0.0502,80600,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1300,1300,1300,1400,1400,1400,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600,1600,44
